Date ,Data Number,Background or not,Powerlite Delay (ns),Actual probe energy recorded (mJ),Gas Pressure Mix,Gauge,Delay Stage Location (cm),Species
10/29/21,1,D,537,3.58,32,B,78,Ar
10/29/21,2,B,537,3.58,32,B,78,Ar
10/29/21,3,B,538,3.57,32,B,78,Ar
10/29/21,4,D,538,3.56,32,B,78,Ar
10/29/21,5,D,539,3.59,32,B,78,Ar
10/29/21,6,B,539,3.57,32,B,78,Ar
10/29/21,7,B,540,3.6,32,B,78,Ar
10/29/21,8,D,540,3.58,32,B,78,Ar
10/29/21,9,D,541,3.57,32,B,78,Ar
10/29/21,10,B,541,3.56,32,B,78,Ar
10/29/21,11,B,542,3.54,32,B,78,Ar
10/29/21,12,D,542,3.56,32,B,78,Ar
10/29/21,13,D,543,3.53,32,B,78,Ar
10/29/21,15,B,543,3.55,32,B,78,Ar
10/29/21,16,B,544,3.51,32,B,78,Ar
10/29/21,17,D,544,3.5,32,B,78,Ar
10/29/21,18,D,545,3.41,32,B,78,Ar
10/29/21,19,B,545,3.46,32,B,78,Ar
10/29/21,20,B,546,3.36,32,B,78,Ar
10/29/21,21,D,546,3.38,32,B,78,Ar
10/29/21,22,D,547,3.21,32,B,78,Ar
10/29/21,23,B,547,3.27,32,B,78,Ar
10/29/21,24,B,548,3.08,32,B,78,Ar
10/29/21,25,D,548,3.17,32,B,78,Ar
10/29/21,26,D,549,2.97,32,B,78,Ar
10/29/21,27,B,549,2.85,32,B,78,Ar
10/29/21,28,B,550,2.8,32,B,78,Ar
10/29/21,29,D,550,2.72,32,B,78,Ar
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,AG 36,?,,
,,,,,Probe 7,?,,
,,,,,24.4,A,,