Date ,Data Number,Background or not,Powerlite Delay (ns),Actual probe energy recorded (mJ),Gas Pressure Mix,Gas Presure (mbar),Guage,Gas Presure (mbar),Guage,Delay Stage Location (cm),Species,Note
10/29/21,81,D,539,3.54,0.818,0.818,A,N,B,78,Ar,AG 48
10/29/21,82,B,539,3.54,0.818,0.818,A,N,B,78,Ar,AG 48
10/29/21,83,B,539,3.54,1.2,1.2,A,N,B,78,Ar,AG 48
10/29/21,85,D,539,3.54,1.2,1.2,A,N,B,78,Ar,AG 48
10/29/21,86,D,539,3.54,1.63,1.63,A,N,B,78,Ar,AG 48
10/29/21,87,B,539,3.56,1.63,1.63,A,N,B,78,Ar,AG 48
10/29/21,88,D,539,3.54,2.01,2.01,A,N,B,78,Ar,AG 48
10/29/21,89,B,539,3.53,2.01,2.01,A,N,B,78,Ar,AG 48
10/29/21,93,D,539,3.51,2.38,2.38,A,N,B,78,Ar,AG 48
10/29/21,94,B,539,3.52,2.38,2.38,A,N,B,78,Ar,AG 48
10/29/21,95,D,539,3.51,2.78,2.78,A,N,B,78,Ar,AG 46
10/29/21,96,B,539,3.52,3.52,3.52,A,N,B,78,Ar,AG 46
10/29/21,63,D,539,3.59,5.6,3.02,A,5.6,B,78,Ar,AG 50
10/29/21,64,B,539,3.57,5.6,3.02,A,5.6,B,78,Ar,AG 51
10/29/21,65,B,539,3.56,6.4,3.52,A,6.4,B,78,Ar,AG 52
10/29/21,66,D,539,3.56,6.4,3.52,A,6.4,B,78,Ar,AG 53
10/29/21,68,D,539,3.56,7.2,4.18,A,7.2,B,78,Ar,AG 54
10/29/21,69,B,539,3.57,7.2,4.18,A,7.2,B,78,Ar,AG 55
10/29/21,73,D,539,3.56,11.2,7.93,A,11.2,B,78,Ar,AG 43
10/29/21,74,B,539,3.58,11.2,7.93,A,11.2,B,78,Ar,AG 44
10/29/21,75,B,539,3.58,15.2,11.9,A,15.2,B,78,Ar,AG 45
10/29/21,76,D,539,3.58,15.2,11.9,A,15.2,B,78,Ar,AG 46
10/29/21,78,D,539,3.58,18.4,14.2,A,18.4,B,78,Ar,AG 47
10/29/21,79,B,539,3.56,18.4,14.2,A,18.4,B,78,Ar,AG 48
10/29/21,97,D,539,3.54,21.6,N,A,21.6,B,78,Ar,AG 32
10/29/21,98,B,539,3.55,21.6,N,A,21.6,B,78,Ar,AG 32
10/29/21,99,B,539,3.54,26.4,N,A,26.4,B,78,Ar,AG 32
10/29/21,100,D,539,3.56,26.4,N,A,26.4,B,78,Ar,AG 32
10/29/21,101,D,539,3.57,29.6,N,A,29.6,B,78,Ar,AG 28
10/29/21,102,B,539,3.55,29.6,N,A,29.6,B,78,Ar,AG 28
10/29/21,30,D,539,3.55,32,N,A,32,B,78,Ar,AG 36
10/29/21,32,B,539,3.55,32,N,A,32,B,78,Ar,AG 36
10/29/21,33,B,539,3.55,36,N,A,36,B,78,Ar,AG 36
10/29/21,34,D,539,3.57,36,N,A,36,B,78,Ar,AG 36
10/29/21,35,D,539,3.57,40,N,A,40,B,78,Ar,AG 36
10/29/21,36,B,539,3.59,40,N,A,40,B,78,Ar,AG 36
10/29/21,40,B,539,3.55,80,N,A,80,B,78,Ar,AG 26
10/29/21,39,D,539,3.58,80,N,A,80,B,78,Ar,AG 27
10/29/21,44,B,539,3.59,120,N,A,120,B,78,Ar,AG 22
10/29/21,43,D,539,3.56,120,N,A,120,B,78,Ar,AG 22
10/29/21,45,D,539,3.59,159,N,A,159,B,78,Ar,AG 18
10/29/21,46,B,539,3.58,159,N,A,159,B,78,Ar,AG 18
10/29/21,47,D,539,3.58,200,N,A,200,B,78,Ar,AG 18
10/29/21,48,B,539,3.58,200,N,A,200,B,78,Ar,AG 18
10/29/21,49,D,539,3.58,240,N,A,240,B,78,Ar,AG 18
10/29/21,50,B,539,3.57,240,N,A,240,B,78,Ar,AG 18
10/29/21,51,D,539,3.59,280,N,A,280,B,78,Ar,AG 18
10/29/21,52,B,539,3.59,280,N,A,280,B,78,Ar,AG 18
10/29/21,53,D,539,3.57,320,N,A,320,B,78,Ar,AG 18
10/29/21,54,B,539,3.55,320,N,A,320,B,78,Ar,AG 18
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,AG 28,?,,,,
,,,,,,,AG 28,?,,,,